COMM,crime_count,total_population,crimes_per_person
Miracle Mile,14163,16057,0.8820452139253908
Mar Vista,19434,39126,0.49670295966876243
Harvard Heights,13235,16951,0.780779894991446
West Hills,18527,38333,0.4833172462369238
Hollywood,96810,62412,1.5511440107671601
Glassell Park,14916,29712,0.5020193861066236
Hancock Park,13975,15557,0.8983094426946069
Silverlake,29840,41305,0.7224306984626558
Reseda,43870,71819,0.6108411423161002
Park La Brea,12079,11782,1.025207944321847
Del Rey,15432,27614,0.5588469616861013
Playa Del Rey,2454,3158,0.7770740975300824
Baldwin Hills,34194,28637,1.1940496560393896
Sunland,9821,19648,0.49984731270358307
Shadow Hills,2599,4455,0.5833894500561168
Elysian Valley,5873,9750,0.6023589743589743
Toluca Terrace,300,1301,0.23059185242121444
Eagle Rock,18931,37683,0.5023750762943502
Elysian Park,5714,5267,1.084868046326182
Vermont Knolls,20367,16678,1.221189591078067
Century City,10176,11890,0.8558452481076535
Longwood,3074,4210,0.730166270783848
Pico-Union,31109,39808,0.7814760852090032
Wholesale District,81475,37156,2.192781784906879
Brentwood,14756,29301,0.5036005597078598
Cheviot Hills,5001,9023,0.5542502493627397
Carthay,12273,13165,0.9322445879225219
Historic Filipinotown,11127,13275,0.8381920903954803
Alsace,6466,11728,0.5513301500682128
West Los Angeles,28397,34165,0.8311722523049905
Green Meadows,23975,19821,1.2095757025377125
South Park,31378,35404,0.8862840357021805
Studio City,19245,20703,0.9295754238516157
South Carthay,7299,10093,0.723174477360547
Brookside,550,621,0.8856682769726248
Cadillac-Corning,4445,6665,0.6669167291822956
Valley Village,15317,22495,0.6809068681929318
Palisades Highlands,788,3833,0.2055830941821028
Mandeville Canyon,848,3233,0.26229508196721313
Mid-city,11574,14339,0.8071692586651789
Little Armenia,6467,7473,0.8653820420179312
Rancho Park,7902,6295,1.2552819698173154
Country Club Park,10536,14412,0.7310574521232306
Tarzana,21924,29684,0.7385797062390513
Mission Hills,14944,22762,0.6565328178543186
Crestview,7338,10785,0.6803894297635605
Venice,40942,32625,1.2549272030651342
Lincoln Heights,19391,31144,0.6226239404058567
University Hills,1078,3137,0.3436404207841887
Van Nuys,78883,86019,0.9170415838361292
Panorama City,45166,69505,0.6498237536867851
Thai Town,4961,9350,0.5305882352941177
Hollywood Hills,22669,27895,0.8126545975981359
Century Palms/Cove,38877,30692,1.2666818714974586
Sycamore Square,716,635,1.1275590551181103
El Sereno,19734,39808,0.49572950160771706
Vermont Vista,50165,37550,1.3359520639147804
Exposition,4379,3238,1.352378011117974
Playa Vista,7281,8926,0.8157069235939951
Pacoima,40739,73687,0.5528654986632648
Gramercy Place,11148,10361,1.0759579191197761
Exposition Park,47732,42113,1.1334267328378411
Angeles National Forest,227,20,11.35
Chinatown,9645,7677,1.2563501367721766
Beverlywood,6471,12415,0.521224325412807
Echo Park,9954,13656,0.7289103690685413
Faircrest Heights,4408,3443,1.2802788266047052
Harbor Gateway,26302,40136,0.6553219055212278
San Pedro,57101,73669,0.7751021460858706
Boyle Heights,59656,82627,0.7219916008084525
Wilmington,39582,52525,0.7535840076154212
Lafayette Square,3982,4358,0.9137218907755851
Manchester Square,8987,8247,1.0897295986419304
Granada Hills,31903,55172,0.5782462118465889
North Hills,36929,56375,0.655059866962306
Porter Ranch,12668,31409,0.40332388805756314
Regent Square,2097,2682,0.7818791946308725
Lake Balboa,23357,38814,0.6017674035141959
Watts,39461,39657,0.9950576190836422
Palms,21279,41457,0.513278819017295
Temple-Beaudry,26923,36565,0.7363052099001778
Figueroa Park Square,8180,8273,0.9887586123534389
Central,24981,35422,0.7052396815538367
Sun Valley,33915,51257,0.6616657237060304
Harvard Park,43771,36447,1.200949323675474
Hyde Park,30263,27943,1.083026160397953
Leimert Park,18051,14859,1.2148193014334747
Arleta,14542,32876,0.4423287504562599
Beverly Crest,4527,12191,0.3713395127553113
Northridge,50457,64739,0.7793910934676161
Koreatown,37527,48275,0.7773588814085965
Melrose,66893,73526,0.909787014117455
Westchester,57124,48017,1.1896619947102067
Harbor City,17331,26967,0.6426743797975303
Downtown,99510,23647,4.208144796380091
Wilshire Center,40843,47295,0.8635796595834655
Winnetka,31974,47804,0.6688561626642122
Jefferson Park,5194,7612,0.6823436678928009
Westlake,54794,54638,1.0028551557524068
Pacific Palisades,9307,20643,0.45085501138400425
Florence-Firestone,48586,43638,1.1133874146386178
Vermont Square,5634,7045,0.7997161107168205
Wellington Square,4527,4606,0.9828484585323491
Reseda Ranch,3473,4496,0.7724644128113879
Little Bangladesh,19626,26415,0.7429869392390687
Highland Park,22765,45502,0.5003076787833501
East Hollywood,23023,28394,0.8108403183771219
Tujunga,12173,26792,0.4543520453866826
Cloverdale/Cochran,9934,14032,0.7079532497149373
Adams-Normandie,5779,7842,0.7369293547564397
Chatsworth,23963,34647,0.691632753196525
West Vernon,54032,50300,1.0741948310139164
St Elmo Village,3373,4457,0.7567870765088625
Harbor Pines,1220,2189,0.5573321151210598
Vernon Central,35546,48771,0.7288347583605012
Angelino Heights,1497,2376,0.6300505050505051
Sherman Oaks,64370,81443,0.7903687241383545
Westwood,20698,51529,0.4016767257272604
Valley Glen,15673,28256,0.5546786523216308
Mt. Washington,11060,23027,0.48030572805836624
Little Tokyo,13614,3386,4.020673360897814
Encino,29803,42349,0.703747432052705
Woodland Hills,44974,63323,0.7102316693776353
Toluca Lake,6141,7899,0.7774401823015572
Reynier Village,2930,4085,0.7172582619339045
View Heights,2259,3257,0.6935830518882408
Lakeview Terrace,7857,12604,0.6233735322119962
Toluca Woods,1172,1825,0.6421917808219179
University Park,25793,24842,1.038281941872635
Bel Air,3532,8261,0.4275511439293064
West Adams,20771,26543,0.7825415363749387
North Hollywood,114090,142364,0.8013964204433706
Sylmar,40078,77413,0.5177166625760531
Victoria Park,5850,7983,0.7328072153325818
Marina Peninsula,2656,4337,0.6124048881715471
Canoga Park,52816,58943,0.8960521181480413
Atwater Village,9696,14101,0.6876108077441316
Crenshaw District,13297,13158,1.010563915488676
Los Feliz,18659,20558,0.9076272010896002
