COMM,Total Income,Total Population,Median Income Per Person
Miracle Mile,6.23571124E8,16057,38834.84611
Harvard Heights,2.00373929E8,16951,11820.77335
Mar Vista,1.297050954E9,39126,33150.61478
West Hills,1.102506327E9,38333,28761.28472
Hollywood,1.600746144E9,62412,25648.05076
Glassell Park,5.59307684E8,29712,18824.30277
Hancock Park,3.35079009E8,15557,21538.7934
Silverlake,1.029245174E9,41305,24918.17393
Reseda,1.215749753E9,71819,16927.96827
Park La Brea,4.31455662E8,11782,36619.90002
Del Rey,9.29911374E8,27614,33675.35938
Playa Del Rey,1.4376036E8,3158,45522.59658
Baldwin Hills,4.95497352E8,28637,17302.69763
Shadow Hills,1.1228387E8,4455,25204.01122
Sunland,5.13225685E8,19648,26121.0141
Elysian Valley,1.58476661E8,9750,16254.01651
Toluca Terrace,2.6237959E7,1301,20167.5319
Elysian Park,7.3060257E7,5267,13871.32276
Eagle Rock,7.79488004E8,37683,20685.40201
Vermont Knolls,1.75107223E8,16678,10499.29386
Century City,5.48170741E8,11890,46103.5106
Longwood,5.649842E7,4210,13420.05226
Pico-Union,4.1677169E8,39808,10469.54607
Cheviot Hills,3.30246335E8,9023,36600.5026
Brentwood,1.782691149E9,29301,60840.62486
Wholesale District,2.87167061E8,37156,7728.68611
Carthay,6.56158931E8,13165,49841.16453
Historic Filipinotown,2.01455375E8,13275,15175.54614
Alsace,1.3181687E8,11728,11239.50119
West Los Angeles,1.356828991E9,34165,39714.0053
Green Meadows,1.59105078E8,19821,8027.09641
South Park,2.4581902E8,35404,6943.25556
Studio City,9.11964099E8,20703,44049.85263
South Carthay,4.02017715E8,10093,39831.34004
Brookside,1.1264087E7,621,18138.62641
Cadillac-Corning,1.3045261E8,6665,19572.7847
Valley Village,6.34164831E8,22495,28191.36835
Mandeville Canyon,1.7966463E8,3233,55572.1095
Palisades Highlands,2.56302897E8,3833,66867.43986
Mid-city,3.11653132E8,14339,21734.649
Little Armenia,1.1278435E8,7473,15092.24542
Rancho Park,2.43868702E8,6295,38740.06386
Country Club Park,2.27344008E8,14412,15774.63281
Tarzana,8.63674267E8,29684,29095.61606
Mission Hills,3.90562484E8,22762,17158.53106
Crestview,3.5943299E8,10785,33327.12007
Venice,1.553435569E9,32625,47614.88334
Lincoln Heights,3.39536086E8,31144,10902.13479
University Hills,3.6911084E7,3137,11766.36404
Van Nuys,1.246259577E9,86019,14488.18955
Panorama City,7.1041937E8,69505,10221.12611
Thai Town,2.5106127E8,9350,26851.47273
Hollywood Hills,1.199930991E9,27895,43015.98821
Century Palms/Cove,2.6248474E8,30692,8552.22012
Sycamore Square,1.9124183E7,635,30116.82362
El Sereno,5.39665504E8,39808,13556.70981
Vermont Vista,3.13981199E8,37550,8361.68306
Exposition,3.990153E7,3238,12322.89376
Playa Vista,4.48660676E8,8926,50264.47188
Pacoima,8.62065346E8,73687,11699.01538
Gramercy Place,1.54759129E8,10361,14936.6981
Exposition Park,3.49186694E8,42113,8291.66039
Angeles National Forest,562353.0,20,28117.65
Chinatown,1.07926768E8,7677,14058.45617
Beverlywood,3.63359998E8,12415,29267.82102
Faircrest Heights,7.1988006E7,3443,20908.51176
Echo Park,2.94947251E8,13656,21598.36343
Harbor Gateway,6.48389998E8,40136,16154.82355
San Pedro,1.786072582E9,73669,24244.56124
Boyle Heights,6.96147034E8,82627,8425.1762
Manchester Square,1.20320216E8,8247,14589.57391
Lafayette Square,7.2782232E7,4358,16700.83341
Wilmington,5.86663297E8,52525,11169.22031
Granada Hills,1.523189506E9,55172,27608.01686
North Hills,9.1465542E8,56375,16224.48639
Porter Ranch,1.105628954E9,31409,35201.02372
Regent Square,5.2609628E7,2682,19615.81954
Lake Balboa,6.71058638E8,38814,17289.08739
Watts,3.07509982E8,39657,7754.24218
Palms,1.268569911E9,41457,30599.65533
Temple-Beaudry,5.41725333E8,36565,14815.40634
Figueroa Park Square,7.6928245E7,8273,9298.71208
Sun Valley,7.21537476E8,51257,14076.85733
Central,2.46980548E8,35422,6972.51843
Harvard Park,3.58892375E8,36447,9846.96614
Hyde Park,3.95203098E8,27943,14143.18785
Leimert Park,2.39209264E8,14859,16098.61121
Arleta,3.98153976E8,32876,12110.77917
Beverly Crest,7.43010853E8,12191,60947.4902
Northridge,1.42126372E9,64739,21953.74844
Koreatown,6.55983031E8,48275,13588.46258
Westchester,1.632023761E9,48017,33988.45744
Melrose,1.594668229E9,73526,21688.49426
Harbor City,5.7663596E8,26967,21383.02221
Downtown,4.37735142E8,23647,18511.23364
Wilshire Center,7.55065868E8,47295,15965.02522
Winnetka,9.38810693E8,47804,19638.74766
Jefferson Park,7.8090384E7,7612,10258.85234
Westlake,5.5279688E8,54638,10117.44354
Pacific Palisades,1.458554137E9,20643,70656.11282
Florence-Firestone,3.52563395E8,43638,8079.27483
Vermont Square,5.8681791E7,7045,8329.56579
Wellington Square,6.1931618E7,4606,13445.85714
Little Bangladesh,4.91062342E8,26415,18590.28363
Reseda Ranch,6.4374014E7,4496,14318.06361
Highland Park,7.68461731E8,45502,16888.52646
East Hollywood,3.97695599E8,28394,14006.32524
Tujunga,5.96077498E8,26792,22248.33898
Cloverdale/Cochran,2.05722182E8,14032,14660.93087
Adams-Normandie,6.8942616E7,7842,8791.4583
Chatsworth,1.059535629E9,34647,30580.87653
West Vernon,4.38753538E8,50300,8722.73435
St Elmo Village,5.8493176E7,4457,13123.88961
Harbor Pines,4.2109129E7,2189,19236.69667
Angelino Heights,4.374584E7,2376,18411.54882
Vernon Central,3.2306881E8,48771,6624.19901
Sherman Oaks,3.075894078E9,81443,37767.44567
Westwood,1.31426043E9,51529,25505.25782
Valley Glen,5.16287162E8,28256,18271.77102
Mt. Washington,3.8250542E8,23027,16611.17037
Little Tokyo,5.1743576E7,3386,15281.62315
Encino,1.623576201E9,42349,38338.00564
Woodland Hills,2.381976501E9,63323,37616.29267
Toluca Lake,2.92663815E8,7899,37050.7425
Reynier Village,9.9882888E7,4085,24451.13537
View Heights,4.974854E7,3257,15274.34449
Lakeview Terrace,2.01553802E8,12604,15991.2569
Toluca Woods,4.4744591E7,1825,24517.58411
University Park,1.70490975E8,24842,6863.01324
Bel Air,5.20784494E8,8261,63041.33809
West Adams,2.85790672E8,26543,10767.08255
North Hollywood,2.46310208E9,142364,17301.43913
Sylmar,1.262689204E9,77413,16311.07442
Victoria Park,1.24505248E8,7983,15596.29813
Marina Peninsula,2.82927205E8,4337,65235.69403
Atwater Village,4.0155696E8,14101,28477.19736
Canoga Park,1.158639981E9,58943,19656.9564
Crenshaw District,1.96122482E8,13158,14905.18939
Los Feliz,6.26464212E8,20558,30473.01352
